x,y,label
208358249.7479379,-1832.9679959163382,Other
167162677.74245802,-908.03612963408,Other
-168239359.27257586,1039.2922653951973,Other
241612160.74089098,-415.39017728376854,Other
-32615759.258508857,-1255.253102757685,Other
-60298060.25798259,-1427.925333442273,Other
177812422.73788497,-17.278834200859595,Other
267194522.74215972,-586.7308647540411,Other
-714411360.2762327,277.18507910930725,Other
-136740449.2815217,2809.2132425647105,Other
17033854.743621487,-1525.4963800863627,Other
-698556023.3095992,6618.234744347436,Other
194425728.74562633,-1434.092804071234,Other
-74145790.27312553,1391.1826089151016,Other
257946750.746219,-1377.049572084504,Other
183688983.74625272,-1580.2281292412217,Other
-35290716.275108814,1868.0140041342236,Other
164839033.7376213,-2.5020873519569156,Other
150179730.7406902,-619.6720219876705,Other
271235656.74633193,-1363.1726632488637,Other
270244613.7464272,-1384.1484731246621,Other
168885973.7480547,-1959.4017826162394,Other
102155199.74109031,-822.6014561156371,Other
-433824115.28277093,2256.6854894198914,Other
111688155.7464855,-1815.0983748957347,Other
237696215.7422441,-680.8524793843001,Other
233535227.74135196,-523.7222102980456,Other
46675413.74786251,-2247.087200972876,Other
167967789.73553345,400.34025197985204,Other
159308399.73781288,-52.47842313191662,Other
112484558.73888107,-378.06979561029027,Other
192206643.74236095,-823.4547412237283,Other
-303187633.27013284,220.44120053908222,Other
174538339.7445815,-1289.3477681239108,Other
103616356.7437992,-1329.5077340555981,Other
-215357600.27901638,2128.089705845951,Other
-517094829.2715618,-77.46661980436572,Other
126792330.73704474,6.255815246247301,Other
65213006.745320156,-1718.278630145444,Other
290395889.7436825,-812.8337227022347,Other
281474857.74444044,-979.1857250739453,Other
28978401.749621823,-2626.0529729174127,Other
311633144.74665076,-1316.3865403878242,Other
-375349205.29102343,3969.6641799099016,Other
-785320520.269933,-1095.1447044243882,D#
138776776.7415663,-815.0649872601962,Other
171415348.74436066,-1255.8187428453846,Other
202135596.74231294,-788.1442518507316,Other
-171489276.26610148,-190.44408920608552,Other
-448857077.26722014,-714.9130239277088,Other
45308945.7342929,308.774627342269,Other
211868763.73632053,368.2862049729647,Other
147572592.74548355,-1530.7168554874481,Other
-1040322.2602848696,-836.6418013462093,Other
-534285916.2857302,2550.2412422117422,Other
225781595.74582916,-1388.7309713485618,Other
214250769.74571955,-1398.9262189533329,Other
-539501724.2641168,-1542.541611145693,Other
89830575.7395524,-564.9167035807951,Other
201006296.74192408,-717.8471501278232,Other
254957602.74556577,-1261.775348565439,Other
318983047.7466616,-1299.2963357248889,Other
239736177.73732588,249.93712187803368,Other
-25646219.256974623,-1526.0270663115684,Other
270055448.7326626,1212.5097876484808,Other
225421191.7433117,-915.2890478868065,Other
-1101254199.2918699,2202.4186206381255,Other
222627987.74522513,-1283.3776959279196,D#
291232532.7433627,-750.1514086933813,Other
267125878.74161005,-483.2306690352263,Other
262368377.73573354,613.0736844068449,Other
-502063086.25766927,-2658.2184390403377,Other
236597603.74434224,-1079.9059137327247,Other
256889241.74170586,-528.3237237868186,Other
-24654690.266716912,313.6915001097424,Other
-257816421.2702759,366.89150974453213,Other
279928304.74472433,-1036.8395765425691,Other
124912029.7385713,-287.41762796310223,Other
193682114.7406476,-496.25621184800735,Other
-1299445133.2433503,-7472.377249742727,Other
203960467.74045008,-431.87018162533286,Other
227573014.74486214,-1201.796187919364,Other
-19269038.25945028,-1042.3030413267295,Other
226673397.7421197,-686.5335864292393,Other
-460761667.27813166,1311.8391238881595,Other
109133958.73664814,33.698903248305996,Other
-814548386.2800014,726.5498625708262,Other
135040088.7466311,-1780.6209662615013,Other
163922749.74232206,-891.0226090730528,Other
-602361203.3131858,7548.503682930555,Other
287299978.74295455,-683.8211809671378,Other
-218409478.2773427,1804.856171691338,Other
166714135.74543688,-1471.233119284336,Other
316585696.7430404,-621.8676037280433,Other
-493204266.31102157,7427.339946942523,Other
-371888972.259678,-1933.4405549018459,Other
305022678.74629015,-1265.6904481679821,Other
185658192.746657,-1651.2949798843151,Other
28788125.74655552,-2048.217702024196,Other
308651778.74342483,-715.6364874292447,Other
